ine_muni,ine_muni.n,viviendas_turisticas,plazas_turisticas,ine_prov,ine_prov.n,ine_ccaa,ine_ccaa.n,capital_prov
04013,Almería,578,2473,04,Almería,01,Andalucía,Sí
04068,Olula de Castro,0,0,04,Almería,01,Andalucía,No
04071,Padules,0,0,04,Almería,01,Andalucía,No
04073,Paterna del Río,0,0,04,Almería,01,Andalucía,No
04076,Purchena,3,13,04,Almería,01,Andalucía,No
04079,Roquetas de Mar,745,3356,04,Almería,01,Andalucía,No
04080,Santa Cruz de Marchena,0,0,04,Almería,01,Andalucía,No
04085,Somontín,1,4,04,Almería,01,Andalucía,No
04088,Tabernas,12,66,04,Almería,01,Andalucía,No
04002,Abrucena,2,10,04,Almería,01,Andalucía,No
04005,Alboloduy,1,6,04,Almería,01,Andalucía,No
04007,Alcolea,5,18,04,Almería,01,Andalucía,No
04009,Alcudia de Monteagud,0,0,04,Almería,01,Andalucía,No
04012,Alicún,1,4,04,Almería,01,Andalucía,No
04014,Almócita,0,0,04,Almería,01,Andalucía,No
04017,Arboleas,18,121,04,Almería,01,Andalucía,No
04018,Armuña de Almanzora,0,0,04,Almería,01,Andalucía,No
04023,Beires,1,6,04,Almería,01,Andalucía,No
04026,Benitagla,0,0,04,Almería,01,Andalucía,No
04028,Bentarique,0,0,04,Almería,01,Andalucía,No
04030,Canjáyar,1,3,04,Almería,01,Andalucía,No
04032,Carboneras,183,905,04,Almería,01,Andalucía,No
04034,Cóbdar,0,0,04,Almería,01,Andalucía,No
04035,Cuevas del Almanzora,124,691,04,Almería,01,Andalucía,No
04043,Felix,3,16,04,Almería,01,Andalucía,No
04046,Fondón,2,8,04,Almería,01,Andalucía,No
04048,"Gallardos, Los",7,49,04,Almería,01,Andalucía,No
04051,Huécija,0,0,04,Almería,01,Andalucía,No
04052,Huércal de Almería,5,12,04,Almería,01,Andalucía,No
04056,Laroya,1,4,04,Almería,01,Andalucía,No
04057,Láujar de Andarax,1,4,04,Almería,01,Andalucía,No
04060,Lucainena de las Torres,3,20,04,Almería,01,Andalucía,No
04066,Níjar,707,3534,04,Almería,01,Andalucía,No
04089,Taberno,1,4,04,Almería,01,Andalucía,No
04090,Tahal,2,10,04,Almería,01,Andalucía,No
04091,Terque,0,0,04,Almería,01,Andalucía,No
04092,Tíjola,1,7,04,Almería,01,Andalucía,No
04093,Turre,55,331,04,Almería,01,Andalucía,No
04094,Turrillas,0,0,04,Almería,01,Andalucía,No
04095,Uleila del Campo,2,10,04,Almería,01,Andalucía,No
04096,Urrácal,0,0,04,Almería,01,Andalucía,No
04097,Velefique,0,0,04,Almería,01,Andalucía,No
04098,Vélez-Blanco,8,31,04,Almería,01,Andalucía,No
04099,Vélez-Rubio,10,76,04,Almería,01,Andalucía,No
04100,Vera,891,4216,04,Almería,01,Andalucía,No
04101,Viator,1,5,04,Almería,01,Andalucía,No
04102,Vícar,40,188,04,Almería,01,Andalucía,No
04103,Zurgena,2,14,04,Almería,01,Andalucía,No
04901,"Tres Villas, Las",4,20,04,Almería,01,Andalucía,No
04902,"Ejido, El",129,633,04,Almería,01,Andalucía,No
04903,"Mojonera, La",0,0,04,Almería,01,Andalucía,No
04001,Abla,3,21,04,Almería,01,Andalucía,No
04003,Adra,25,126,04,Almería,01,Andalucía,No
04004,Albanchez,0,0,04,Almería,01,Andalucía,No
04006,Albox,14,73,04,Almería,01,Andalucía,No
04008,Alcóntar,2,26,04,Almería,01,Andalucía,No
04010,Alhabia,0,0,04,Almería,01,Andalucía,No
04011,Alhama de Almería,8,42,04,Almería,01,Andalucía,No
04015,Alsodux,0,0,04,Almería,01,Andalucía,No
04016,Antas,13,86,04,Almería,01,Andalucía,No
04019,Bacares,1,4,04,Almería,01,Andalucía,No
04020,Bayárcal,0,0,04,Almería,01,Andalucía,No
04021,Bayarque,0,0,04,Almería,01,Andalucía,No
04022,Bédar,23,129,04,Almería,01,Andalucía,No
04024,Benahadux,0,0,04,Almería,01,Andalucía,No
04027,Benizalón,0,0,04,Almería,01,Andalucía,No
04029,Berja,11,58,04,Almería,01,Andalucía,No
04031,Cantoria,6,44,04,Almería,01,Andalucía,No
04033,Castro de Filabres,0,0,04,Almería,01,Andalucía,No
04036,Chercos,1,10,04,Almería,01,Andalucía,No
04037,Chirivel,1,3,04,Almería,01,Andalucía,No
04038,Dalías,4,21,04,Almería,01,Andalucía,No
04041,Enix,11,47,04,Almería,01,Andalucía,No
04044,Fines,0,0,04,Almería,01,Andalucía,No
04045,Fiñana,3,19,04,Almería,01,Andalucía,No
04047,Gádor,0,0,04,Almería,01,Andalucía,No
04049,Garrucha,94,507,04,Almería,01,Andalucía,No
04050,Gérgal,0,0,04,Almería,01,Andalucía,No
04053,Huércal-Overa,23,119,04,Almería,01,Andalucía,No
04054,Íllar,2,11,04,Almería,01,Andalucía,No
04055,Instinción,0,0,04,Almería,01,Andalucía,No
04058,Líjar,0,0,04,Almería,01,Andalucía,No
04059,Lubrín,17,74,04,Almería,01,Andalucía,No
04061,Lúcar,2,16,04,Almería,01,Andalucía,No
04062,Macael,1,8,04,Almería,01,Andalucía,No
04063,María,2,10,04,Almería,01,Andalucía,No
04064,Mojácar,654,3390,04,Almería,01,Andalucía,No
04065,Nacimiento,0,0,04,Almería,01,Andalucía,No
04067,Ohanes,2,10,04,Almería,01,Andalucía,No
04069,Olula del Río,1,1,04,Almería,01,Andalucía,No
04070,Oria,9,43,04,Almería,01,Andalucía,No
04072,Partaloa,7,42,04,Almería,01,Andalucía,No
04074,Pechina,2,9,04,Almería,01,Andalucía,No
04075,Pulpí,288,1349,04,Almería,01,Andalucía,No
04077,Rágol,0,0,04,Almería,01,Andalucía,No
04078,Rioja,0,0,04,Almería,01,Andalucía,No
04081,Santa Fe de Mondújar,2,17,04,Almería,01,Andalucía,No
04082,Senés,3,20,04,Almería,01,Andalucía,No
04083,Serón,10,56,04,Almería,01,Andalucía,No
04084,Sierro,0,0,04,Almería,01,Andalucía,No
04086,Sorbas,16,66,04,Almería,01,Andalucía,No
04087,Suflí,0,0,04,Almería,01,Andalucía,No
11001,Alcalá de los Gazules,7,42,11,Cádiz,01,Andalucía,No
11004,Algeciras,90,351,11,Cádiz,01,Andalucía,No
11006,Arcos de la Frontera,168,866,11,Cádiz,01,Andalucía,No
11009,Benaocaz,21,132,11,Cádiz,01,Andalucía,No
11011,"Bosque, El",80,460,11,Cádiz,01,Andalucía,No
11013,Castellar de la Frontera,1,4,11,Cádiz,01,Andalucía,No
11015,Chiclana de la Frontera,1306,7684,11,Cádiz,01,Andalucía,No
11020,Jerez de la Frontera,677,3024,11,Cádiz,01,Andalucía,No
11022,"Línea de la Concepción, La",46,183,11,Cádiz,01,Andalucía,No
11025,Paterna de Rivera,1,4,11,Cádiz,01,Andalucía,No
11027,"Puerto de Santa María, El",816,4507,11,Cádiz,01,Andalucía,No
11032,Sanlúcar de Barrameda,445,2361,11,Cádiz,01,Andalucía,No
11034,Setenil de las Bodegas,52,290,11,Cádiz,01,Andalucía,No
11035,Tarifa,1694,7954,11,Cádiz,01,Andalucía,No
11036,Torre Alháquime,2,21,11,Cádiz,01,Andalucía,No
11038,Ubrique,19,121,11,Cádiz,01,Andalucía,No
11039,Vejer de la Frontera,645,2844,11,Cádiz,01,Andalucía,No
11040,Villaluenga del Rosario,6,37,11,Cádiz,01,Andalucía,No
11041,Villamartín,11,100,11,Cádiz,01,Andalucía,No
11042,Zahara,33,210,11,Cádiz,01,Andalucía,No
11901,Benalup-Casas Viejas,18,121,11,Cádiz,01,Andalucía,No
11902,San José del Valle,1,6,11,Cádiz,01,Andalucía,No
11002,Alcalá del Valle,1,4,11,Cádiz,01,Andalucía,No
11003,Algar,7,49,11,Cádiz,01,Andalucía,No
11005,Algodonales,53,266,11,Cádiz,01,Andalucía,No
11007,Barbate,637,3012,11,Cádiz,01,Andalucía,No
11008,"Barrios, Los",7,63,11,Cádiz,01,Andalucía,No
11010,Bornos,2,10,11,Cádiz,01,Andalucía,No
11012,Cádiz,1517,6455,11,Cádiz,01,Andalucía,Sí
11014,Conil de la Frontera,2007,10162,11,Cádiz,01,Andalucía,No
11016,Chipiona,231,1205,11,Cádiz,01,Andalucía,No
11017,Espera,0,0,11,Cádiz,01,Andalucía,No
11018,"Gastor, El",60,300,11,Cádiz,01,Andalucía,No
11019,Grazalema,69,442,11,Cádiz,01,Andalucía,No
11021,Jimena de la Frontera,23,129,11,Cádiz,01,Andalucía,No
11023,Medina Sidonia,54,267,11,Cádiz,01,Andalucía,No
11024,Olvera,29,172,11,Cádiz,01,Andalucía,No
11026,Prado del Rey,28,193,11,Cádiz,01,Andalucía,No
11028,Puerto Real,64,273,11,Cádiz,01,Andalucía,No
11029,Puerto Serrano,7,94,11,Cádiz,01,Andalucía,No
11030,Rota,382,1971,11,Cádiz,01,Andalucía,No
11031,San Fernando,72,301,11,Cádiz,01,Andalucía,No
11033,San Roque,430,2928,11,Cádiz,01,Andalucía,No
11037,Trebujena,1,6,11,Cádiz,01,Andalucía,No
14002,Aguilar de la Frontera,2,11,14,Córdoba,01,Andalucía,No
14005,Almodóvar del Río,24,171,14,Córdoba,01,Andalucía,No
14008,Belalcázar,0,0,14,Córdoba,01,Andalucía,No
14011,"Blázquez, Los",0,0,14,Córdoba,01,Andalucía,No
14014,Cañete de las Torres,0,0,14,Córdoba,01,Andalucía,No
14017,"Carlota, La",6,21,14,Córdoba,01,Andalucía,No
14019,Castro del Río,2,40,14,Córdoba,01,Andalucía,No
14022,Doña Mencía,0,0,14,Córdoba,01,Andalucía,No
14024,Encinas Reales,2,19,14,Córdoba,01,Andalucía,No
14028,Fuente la Lancha,0,0,14,Córdoba,01,Andalucía,No
14030,Fuente Palmera,4,17,14,Córdoba,01,Andalucía,No
14032,"Granjuela, La",0,0,14,Córdoba,01,Andalucía,No
14035,Hinojosa del Duque,1,7,14,Córdoba,01,Andalucía,No
14038,Lucena,20,116,14,Córdoba,01,Andalucía,No
14040,Montalbán de Córdoba,0,0,14,Córdoba,01,Andalucía,No
14043,Montoro,6,64,14,Córdoba,01,Andalucía,No
14045,Moriles,2,14,14,Córdoba,01,Andalucía,No
14047,Obejo,4,42,14,Córdoba,01,Andalucía,No
14049,Palma del Río,6,42,14,Córdoba,01,Andalucía,No
14051,Pedroche,2,22,14,Córdoba,01,Andalucía,No
14052,Peñarroya-Pueblonuevo,0,0,14,Córdoba,01,Andalucía,No
14056,Puente Genil,9,90,14,Córdoba,01,Andalucía,No
14058,Rute,14,92,14,Córdoba,01,Andalucía,No
14059,San Sebastián de los Ballesteros,2,11,14,Córdoba,01,Andalucía,No
14063,Valenzuela,0,0,14,Córdoba,01,Andalucía,No
14065,"Victoria, La",0,0,14,Córdoba,01,Andalucía,No
14067,Villafranca de Córdoba,4,27,14,Córdoba,01,Andalucía,No
14070,Villanueva del Duque,2,14,14,Córdoba,01,Andalucía,No
14072,Villaralto,1,7,14,Córdoba,01,Andalucía,No
14073,Villaviciosa de Córdoba,3,14,14,Córdoba,01,Andalucía,No
14001,Adamuz,1,5,14,Córdoba,01,Andalucía,No
14003,Alcaracejos,3,28,14,Córdoba,01,Andalucía,No
14004,Almedinilla,5,18,14,Córdoba,01,Andalucía,No
14006,Añora,1,10,14,Córdoba,01,Andalucía,No
14007,Baena,12,79,14,Córdoba,01,Andalucía,No
14009,Belmez,2,7,14,Córdoba,01,Andalucía,No
14010,Benamejí,3,10,14,Córdoba,01,Andalucía,No
14012,Bujalance,2,12,14,Córdoba,01,Andalucía,No
14013,Cabra,4,27,14,Córdoba,01,Andalucía,No
14015,Carcabuey,12,95,14,Córdoba,01,Andalucía,No
14016,Cardeña,6,26,14,Córdoba,01,Andalucía,No
14018,"Carpio, El",1,9,14,Córdoba,01,Andalucía,No
14020,Conquista,0,0,14,Córdoba,01,Andalucía,No
14021,Córdoba,1364,6375,14,Córdoba,01,Andalucía,Sí
14023,Dos Torres,0,0,14,Córdoba,01,Andalucía,No
14025,Espejo,0,0,14,Córdoba,01,Andalucía,No
14026,Espiel,1,5,14,Córdoba,01,Andalucía,No
14027,Fernán-Núñez,1,4,14,Córdoba,01,Andalucía,No
14029,Fuente Obejuna,1,11,14,Córdoba,01,Andalucía,No
14031,Fuente-Tójar,0,0,14,Córdoba,01,Andalucía,No
14033,Guadalcázar,4,22,14,Córdoba,01,Andalucía,No
14034,"Guijo, El",0,0,14,Córdoba,01,Andalucía,No
14036,Hornachuelos,20,171,14,Córdoba,01,Andalucía,No
14037,Iznájar,20,147,14,Córdoba,01,Andalucía,No
14039,Luque,6,31,14,Córdoba,01,Andalucía,No
14041,Montemayor,10,87,14,Córdoba,01,Andalucía,No
14042,Montilla,19,164,14,Córdoba,01,Andalucía,No
14044,Monturque,1,7,14,Córdoba,01,Andalucía,No
14046,Nueva Carteya,1,16,14,Córdoba,01,Andalucía,No
14048,Palenciana,0,0,14,Córdoba,01,Andalucía,No
14050,Pedro Abad,0,0,14,Córdoba,01,Andalucía,No
14053,Posadas,4,22,14,Córdoba,01,Andalucía,No
14054,Pozoblanco,4,29,14,Córdoba,01,Andalucía,No
14055,Priego de Córdoba,26,197,14,Córdoba,01,Andalucía,No
14057,"Rambla, La",3,24,14,Córdoba,01,Andalucía,No
14060,Santaella,8,38,14,Córdoba,01,Andalucía,No
14061,Santa Eufemia,0,0,14,Córdoba,01,Andalucía,No
14062,Torrecampo,0,0,14,Córdoba,01,Andalucía,No
14064,Valsequillo,0,0,14,Córdoba,01,Andalucía,No
14066,Villa del Río,0,0,14,Córdoba,01,Andalucía,No
14068,Villaharta,2,11,14,Córdoba,01,Andalucía,No
14069,Villanueva de Córdoba,2,14,14,Córdoba,01,Andalucía,No
14071,Villanueva del Rey,0,0,14,Córdoba,01,Andalucía,No
14074,"Viso, El",0,0,14,Córdoba,01,Andalucía,No
14075,Zuheros,7,52,14,Córdoba,01,Andalucía,No
18087,Granada,2463,11147,18,Granada,01,Andalucía,Sí
18126,"Malahá, La",2,10,18,Granada,01,Andalucía,No
18132,Moclín,10,54,18,Granada,01,Andalucía,No
18134,Monachil,495,2783,18,Granada,01,Andalucía,No
18136,Montejícar,3,16,18,Granada,01,Andalucía,No
18138,Moraleda de Zafayona,2,14,18,Granada,01,Andalucía,No
18145,Ogíjares,15,106,18,Granada,01,Andalucía,No
18147,Órgiva,36,211,18,Granada,01,Andalucía,No
18150,Padul,18,113,18,Granada,01,Andalucía,No
18151,Pampaneira,7,35,18,Granada,01,Andalucía,No
18153,Peligros,6,26,18,Granada,01,Andalucía,No
18157,Pinos Genil,13,51,18,Granada,01,Andalucía,No
18161,Polícar,1,5,18,Granada,01,Andalucía,No
18163,Pórtugos,1,13,18,Granada,01,Andalucía,No
18164,Puebla de Don Fadrique,3,25,18,Granada,01,Andalucía,No
18171,Salar,1,5,18,Granada,01,Andalucía,No
18174,Santa Cruz del Comercio,1,6,18,Granada,01,Andalucía,No
18177,Sorvilán,9,50,18,Granada,01,Andalucía,No
18179,Torvizcón,5,28,18,Granada,01,Andalucía,No
18045,Castilléjar,9,46,18,Granada,01,Andalucía,No
18047,Cenes de la Vega,38,179,18,Granada,01,Andalucía,No
18050,Cogollos de la Vega,5,26,18,Granada,01,Andalucía,No
18054,Cortes y Graena,0,0,18,Granada,01,Andalucía,No
18057,Cúllar Vega,12,57,18,Granada,01,Andalucía,No
18062,Churriana de la Vega,16,74,18,Granada,01,Andalucía,No
18066,Deifontes,0,0,18,Granada,01,Andalucía,No
18069,Dólar,0,0,18,Granada,01,Andalucía,No
18071,Dúrcal,10,41,18,Granada,01,Andalucía,No
18074,Ferreira,0,0,18,Granada,01,Andalucía,No
18078,Freila,4,23,18,Granada,01,Andalucía,No
18079,Fuente Vaqueros,2,12,18,Granada,01,Andalucía,No
18086,Gorafe,4,24,18,Granada,01,Andalucía,No
18088,Guadahortuna,0,0,18,Granada,01,Andalucía,No
18094,Güéjar Sierra,43,236,18,Granada,01,Andalucía,No
18097,Huéneja,0,0,18,Granada,01,Andalucía,No
18099,Huétor de Santillán,8,75,18,Granada,01,Andalucía,No
18101,Huétor Vega,32,194,18,Granada,01,Andalucía,No
18107,Jayena,0,0,18,Granada,01,Andalucía,No
18108,Jérez del Marquesado,0,0,18,Granada,01,Andalucía,No
18114,"Calahorra, La",3,15,18,Granada,01,Andalucía,No
18119,Lecrín,19,101,18,Granada,01,Andalucía,No
18121,Lobras,4,20,18,Granada,01,Andalucía,No
18124,Lújar,8,46,18,Granada,01,Andalucía,No
18180,Trevélez,7,39,18,Granada,01,Andalucía,No
18181,Turón,0,0,18,Granada,01,Andalucía,No
18182,Ugíjar,5,26,18,Granada,01,Andalucía,No
18183,Válor,5,24,18,Granada,01,Andalucía,No
18184,Vélez de Benaudalla,27,132,18,Granada,01,Andalucía,No
18185,Ventas de Huelma,0,0,18,Granada,01,Andalucía,No
18187,Villanueva de las Torres,1,10,18,Granada,01,Andalucía,No
18188,Villanueva Mesía,0,0,18,Granada,01,Andalucía,No
18189,Víznar,1,16,18,Granada,01,Andalucía,No
18192,Zafarraya,5,27,18,Granada,01,Andalucía,No
18193,"Zubia, La",25,142,18,Granada,01,Andalucía,No
18194,Zújar,2,10,18,Granada,01,Andalucía,No
18901,"Taha, La",15,78,18,Granada,01,Andalucía,No
18902,"Valle, El",15,98,18,Granada,01,Andalucía,No
18903,Nevada,8,32,18,Granada,01,Andalucía,No
18904,Alpujarra de la Sierra,12,72,18,Granada,01,Andalucía,No
18905,"Gabias, Las",28,141,18,Granada,01,Andalucía,No
18906,"Guájares, Los",4,21,18,Granada,01,Andalucía,No
18907,Valle del Zalabí,2,12,18,Granada,01,Andalucía,No
18908,Villamena,3,24,18,Granada,01,Andalucía,No
18909,Morelábor,0,0,18,Granada,01,Andalucía,No
18910,"Pinar, El",15,91,18,Granada,01,Andalucía,No
18911,Vegas del Genil,3,22,18,Granada,01,Andalucía,No
18912,Cuevas del Campo,4,29,18,Granada,01,Andalucía,No
18913,Zagra,0,0,18,Granada,01,Andalucía,No
18001,Agrón,0,0,18,Granada,01,Andalucía,No
18002,Alamedilla,0,0,18,Granada,01,Andalucía,No
18003,Albolote,26,197,18,Granada,01,Andalucía,No
18004,Albondón,1,6,18,Granada,01,Andalucía,No
18005,Albuñán,0,0,18,Granada,01,Andalucía,No
18006,Albuñol,15,70,18,Granada,01,Andalucía,No
18007,Albuñuelas,2,12,18,Granada,01,Andalucía,No
18010,Aldeire,0,0,18,Granada,01,Andalucía,No
18011,Alfacar,7,55,18,Granada,01,Andalucía,No
18012,Algarinejo,9,67,18,Granada,01,Andalucía,No
18013,Alhama de Granada,22,119,18,Granada,01,Andalucía,No
18014,Alhendín,18,122,18,Granada,01,Andalucía,No
18015,Alicún de Ortega,0,0,18,Granada,01,Andalucía,No
18016,Almegíjar,0,0,18,Granada,01,Andalucía,No
18017,Almuñécar,1062,5710,18,Granada,01,Andalucía,No
18018,Alquife,4,11,18,Granada,01,Andalucía,No
18020,Arenas del Rey,14,82,18,Granada,01,Andalucía,No
18021,Armilla,27,146,18,Granada,01,Andalucía,No
18022,Atarfe,7,34,18,Granada,01,Andalucía,No
18023,Baza,20,136,18,Granada,01,Andalucía,No
18024,Beas de Granada,0,0,18,Granada,01,Andalucía,No
18025,Beas de Guadix,0,0,18,Granada,01,Andalucía,No
18027,Benalúa,9,24,18,Granada,01,Andalucía,No
18028,Benalúa de las Villas,1,6,18,Granada,01,Andalucía,No
18029,Benamaurel,9,58,18,Granada,01,Andalucía,No
18030,Bérchules,4,20,18,Granada,01,Andalucía,No
18032,Bubión,14,79,18,Granada,01,Andalucía,No
18033,Busquístar,3,14,18,Granada,01,Andalucía,No
18034,Cacín,1,13,18,Granada,01,Andalucía,No
18035,Cádiar,4,15,18,Granada,01,Andalucía,No
18036,Cájar,5,21,18,Granada,01,Andalucía,No
18037,Calicasas,1,2,18,Granada,01,Andalucía,No
18038,Campotéjar,0,0,18,Granada,01,Andalucía,No
18039,Caniles,3,30,18,Granada,01,Andalucía,No
18040,Cáñar,3,13,18,Granada,01,Andalucía,No
18042,Capileira,24,102,18,Granada,01,Andalucía,No
18043,Carataunas,8,38,18,Granada,01,Andalucía,No
18044,Cástaras,1,8,18,Granada,01,Andalucía,No
18046,Castril,16,126,18,Granada,01,Andalucía,No
18048,Cijuela,1,4,18,Granada,01,Andalucía,No
18051,Colomera,8,33,18,Granada,01,Andalucía,No
18053,Cortes de Baza,5,38,18,Granada,01,Andalucía,No
18056,Cúllar,7,43,18,Granada,01,Andalucía,No
18059,Chauchina,0,0,18,Granada,01,Andalucía,No
18061,Chimeneas,2,24,18,Granada,01,Andalucía,No
18063,Darro,0,0,18,Granada,01,Andalucía,No
18064,Dehesas de Guadix,0,0,18,Granada,01,Andalucía,No
18067,Diezma,1,8,18,Granada,01,Andalucía,No
18070,Dúdar,5,42,18,Granada,01,Andalucía,No
18072,Escúzar,0,0,18,Granada,01,Andalucía,No
18076,Fonelas,2,19,18,Granada,01,Andalucía,No
18083,Gobernador,0,0,18,Granada,01,Andalucía,No
18084,Gójar,9,84,18,Granada,01,Andalucía,No
18085,Gor,7,31,18,Granada,01,Andalucía,No
18089,Guadix,42,200,18,Granada,01,Andalucía,No
18095,Güevéjar,1,12,18,Granada,01,Andalucía,No
18096,Huélago,0,0,18,Granada,01,Andalucía,No
18098,Huéscar,1,10,18,Granada,01,Andalucía,No
18100,Huétor Tájar,6,33,18,Granada,01,Andalucía,No
18103,Ítrabo,9,53,18,Granada,01,Andalucía,No
18105,Iznalloz,7,41,18,Granada,01,Andalucía,No
18109,Jete,6,41,18,Granada,01,Andalucía,No
18111,Jun,2,14,18,Granada,01,Andalucía,No
18115,Láchar,0,0,18,Granada,01,Andalucía,No
18116,Lanjarón,35,184,18,Granada,01,Andalucía,No
18117,Lanteira,3,17,18,Granada,01,Andalucía,No
18120,Lentegí,2,8,18,Granada,01,Andalucía,No
18122,Loja,15,112,18,Granada,01,Andalucía,No
18123,Lugros,0,0,18,Granada,01,Andalucía,No
18127,Maracena,11,46,18,Granada,01,Andalucía,No
18128,Marchal,0,0,18,Granada,01,Andalucía,No
18133,Molvízar,2,13,18,Granada,01,Andalucía,No
18135,Montefrío,24,187,18,Granada,01,Andalucía,No
18137,Montillana,0,0,18,Granada,01,Andalucía,No
18140,Motril,150,784,18,Granada,01,Andalucía,No
18141,Murtas,3,14,18,Granada,01,Andalucía,No
18143,Nigüelas,5,42,18,Granada,01,Andalucía,No
18144,Nívar,7,52,18,Granada,01,Andalucía,No
18146,Orce,5,21,18,Granada,01,Andalucía,No
18148,Otívar,4,21,18,Granada,01,Andalucía,No
18149,Villa de Otura,12,106,18,Granada,01,Andalucía,No
18152,Pedro Martínez,0,0,18,Granada,01,Andalucía,No
18154,"Peza, La",8,40,18,Granada,01,Andalucía,No
18158,Pinos Puente,2,16,18,Granada,01,Andalucía,No
18159,Píñar,0,0,18,Granada,01,Andalucía,No
18162,Polopos,10,37,18,Granada,01,Andalucía,No
18165,Pulianas,1,5,18,Granada,01,Andalucía,No
18167,Purullena,0,0,18,Granada,01,Andalucía,No
18168,Quéntar,3,11,18,Granada,01,Andalucía,No
18170,Rubite,11,35,18,Granada,01,Andalucía,No
18173,Salobreña,251,1588,18,Granada,01,Andalucía,No
18175,Santa Fe,1,4,18,Granada,01,Andalucía,No
18176,Soportújar,2,8,18,Granada,01,Andalucía,No
18178,Torre-Cardela,0,0,18,Granada,01,Andalucía,No
18049,Cogollos de Guadix,4,32,18,Granada,01,Andalucía,No
18068,Dílar,6,46,18,Granada,01,Andalucía,No
18082,Galera,14,83,18,Granada,01,Andalucía,No
18093,Gualchos,33,188,18,Granada,01,Andalucía,No
18102,Íllora,14,102,18,Granada,01,Andalucía,No
18112,Juviles,0,0,18,Granada,01,Andalucía,No
21028,Cumbres de San Bartolomé,1,8,21,Huelva,01,Andalucía,No
21031,Encinasola,2,12,21,Huelva,01,Andalucía,No
21033,Fuenteheridos,3,13,21,Huelva,01,Andalucía,No
21035,Gibraleón,3,21,21,Huelva,01,Andalucía,No
21036,"Granada de Río-Tinto, La",0,0,21,Huelva,01,Andalucía,No
21040,Hinojos,4,40,21,Huelva,01,Andalucía,No
21042,Isla Cristina,254,1395,21,Huelva,01,Andalucía,No
21045,Linares de la Sierra,3,22,21,Huelva,01,Andalucía,No
21048,"Marines, Los",3,17,21,Huelva,01,Andalucía,No
21050,Moguer,24,148,21,Huelva,01,Andalucía,No
21052,Nerva,0,0,21,Huelva,01,Andalucía,No
21054,"Palma del Condado, La",1,4,21,Huelva,01,Andalucía,No
21056,Paterna del Campo,0,0,21,Huelva,01,Andalucía,No
21059,Puerto Moral,4,24,21,Huelva,01,Andalucía,No
21061,Rociana del Condado,1,4,21,Huelva,01,Andalucía,No
21063,San Bartolomé de la Torre,0,0,21,Huelva,01,Andalucía,No
21065,Sanlúcar de Guadiana,3,20,21,Huelva,01,Andalucía,No
21067,Santa Ana la Real,2,8,21,Huelva,01,Andalucía,No
21069,Santa Olalla del Cala,0,0,21,Huelva,01,Andalucía,No
21072,Valverde del Camino,3,32,21,Huelva,01,Andalucía,No
21075,Villanueva de las Cruces,0,0,21,Huelva,01,Andalucía,No
21076,Villanueva de los Castillejos,5,22,21,Huelva,01,Andalucía,No
21001,Alájar,7,55,21,Huelva,01,Andalucía,No
21002,Aljaraque,5,22,21,Huelva,01,Andalucía,No
21003,"Almendro, El",0,0,21,Huelva,01,Andalucía,No
21004,Almonaster la Real,9,52,21,Huelva,01,Andalucía,No
21005,Almonte,152,922,21,Huelva,01,Andalucía,No
21006,Alosno,0,0,21,Huelva,01,Andalucía,No
21007,Aracena,27,135,21,Huelva,01,Andalucía,No
21008,Aroche,5,34,21,Huelva,01,Andalucía,No
21009,Arroyomolinos de León,2,12,21,Huelva,01,Andalucía,No
21010,Ayamonte,750,3858,21,Huelva,01,Andalucía,No
21011,Beas,1,8,21,Huelva,01,Andalucía,No
21012,Berrocal,0,0,21,Huelva,01,Andalucía,No
21013,Bollullos Par del Condado,1,5,21,Huelva,01,Andalucía,No
21014,Bonares,0,0,21,Huelva,01,Andalucía,No
21015,Cabezas Rubias,0,0,21,Huelva,01,Andalucía,No
21016,Cala,3,28,21,Huelva,01,Andalucía,No
21017,Calañas,0,0,21,Huelva,01,Andalucía,No
21018,"Campillo, El",1,7,21,Huelva,01,Andalucía,No
21019,Campofrío,0,0,21,Huelva,01,Andalucía,No
21020,Cañaveral de León,1,7,21,Huelva,01,Andalucía,No
21021,Cartaya,206,1200,21,Huelva,01,Andalucía,No
21022,Castaño del Robledo,1,14,21,Huelva,01,Andalucía,No
21023,"Cerro de Andévalo, El",0,0,21,Huelva,01,Andalucía,No
21024,Corteconcepción,1,6,21,Huelva,01,Andalucía,No
21025,Cortegana,7,56,21,Huelva,01,Andalucía,No
21026,Cortelazor,1,8,21,Huelva,01,Andalucía,No
21027,Cumbres de Enmedio,0,0,21,Huelva,01,Andalucía,No
21029,Cumbres Mayores,2,21,21,Huelva,01,Andalucía,No
21030,Chucena,2,4,21,Huelva,01,Andalucía,No
21032,Escacena del Campo,0,0,21,Huelva,01,Andalucía,No
21034,Galaroza,3,16,21,Huelva,01,Andalucía,No
21037,"Granado, El",0,0,21,Huelva,01,Andalucía,No
21038,Higuera de la Sierra,9,66,21,Huelva,01,Andalucía,No
21039,Hinojales,1,11,21,Huelva,01,Andalucía,No
21041,Huelva,93,342,21,Huelva,01,Andalucía,Sí
21043,Jabugo,6,33,21,Huelva,01,Andalucía,No
21044,Lepe,182,1029,21,Huelva,01,Andalucía,No
21046,Lucena del Puerto,2,17,21,Huelva,01,Andalucía,No
21047,Manzanilla,0,0,21,Huelva,01,Andalucía,No
21049,Minas de Riotinto,1,14,21,Huelva,01,Andalucía,No
